MD	3052		Soroca	S	Cremenciug				48.2769	28.0853	4
MD	3100		Balti	B	Balti				47.7617	27.9289	4
MD	3151		Mun.Balti	M	Elizaveta				47.7842	28.0225	4
MD	3200		Bender Tr.	B	Bender				46.8306	29.4711	4
MD	3251		Bender Tr.	B	Varnita				46.8614	29.4692	4
MD	3252		Bender Tr.	B	Proteagailovca				46.8231	29.4419	4
MD	3300		Tiraspol Tr.	T	Tiraspol				46.8403	29.6433	4
MD	3311		Tiraspol Tr.	T	Tiraspolul Nou				46.8319	29.5767	4
MD	3351		Tiraspol Tr.	T	Cremenciug				46.7086	29.6739	4
MD	3352		Tiraspol Tr.	T	Dnestrovsc				46.6222	29.9133	4
MD	3401		Hincesti	H	Hincesti				46.8258	28.5936	4
MD	3411		Hincesti	H	Anini				46.8892	28.4664	4
MD	3411		Hincesti	H	Rusca				46.8761	28.4764	4
MD	3412		Hincesti	H	Balceana				46.8444	28.4047	4
MD	3413		Hincesti	H	Bobeica				46.985	28.4622	4
MD	3413		Hincesti	H	Dahnovici				46.9764	28.4822	4
MD	3414		Hincesti	H	Boghiceni				46.9489	28.3253	4
MD	3415		Hincesti	H	Bozieni				46.7494	28.6472	4
MD	3416		Hincesti	H	Bujor				46.9225	28.2683	4
MD	3417		Hincesti	H	Buteni				46.8242	28.675	4
MD	3418		Hincesti	H	Calmatui				46.7833	28.2153	4
MD	3419		Hincesti	H	Caracui				46.6986	28.5419	4
MD	3420		Hincesti	H	Topor 				46.7597	28.3531	3
MD	3420		Hincesti	H	Carpineni				46.7597	28.3531	4
MD	3421		Hincesti	H	Cioara				46.7325	28.2247	4
MD	3422		Hincesti	H	Cotul Morii				46.8697	28.1189	4
MD	3423		Hincesti	H	Crasnoarmeiscoe				46.8294	28.2822	4
MD	3423		Hincesti	H	Talaiesti				46.8003	28.2664	4
MD	3424		Hincesti	H	Dancu				46.7628	28.21	4
MD	3425		Hincesti	H	Draguseni				46.9839	28.4503	4
MD	3426		Hincesti	H	Dubovca				46.7486	28.6083	4
MD	3427		Hincesti	H	Firladeni				46.7875	28.6875	4
MD	3428		Hincesti	H	Fundul Galbenei				46.8825	28.6231	4
MD	3429		Hincesti	H	Horjesti				46.7128	28.3494	4
MD	3430		Hincesti	H	Costesti				46.8733	28.2067	4
MD	3430		Hincesti	H	Ivanovca				46.8769	28.1964	4
MD	3430		Hincesti	H	Frasin				46.89	28.195	4
MD	3431		Hincesti	H	Lapusna				46.8842	28.4119	4
MD	3432		Hincesti	H	Leuseni				46.8092	28.1994	4
MD	3432		Hincesti	H	Feteasca				46.7878	28.1922	4
MD	3434		Hincesti	H	Loganesti				46.9039	28.5453	4
MD	3435		Hincesti	H	Mereseni				46.7967	28.5417	4
MD	3436		Hincesti	H	Mingir				46.6667	28.3272	4
MD	3437		Hincesti	H	Miresti				46.9697	28.255	4
MD	3437		Hincesti	H	Chetroseni				46.9631	28.2728	4
MD	3438		Hincesti	H	Negrea				46.8114	28.3981	4
MD	3439		Hincesti	H	Nemteni				46.9086	28.1181	4
MD	3440		Hincesti	H	Sarateni				46.8567	28.1686	4
MD	3440		Hincesti	H	Obileni				46.8786	28.1606	4
MD	3441		Hincesti	H	Strimbeni				46.8672	28.265	4
MD	3441		Hincesti	H	Onesti				46.8603	28.2525	4
MD	3442		Hincesti	H	Pascani				46.9769	28.3678	4
MD	3443		Hincesti	H	Pereni				47.0028	28.3736	4
MD	3444		Hincesti	H	Pervomaiscoe				46.8839	28.3231	4
MD	3445		Hincesti	H	Poganesti				46.6928	28.2331	4
MD	3445		Hincesti	H	Marchet				46.7081	28.2342	4
MD	3446		Hincesti	H	Carpineanca				46.6961	28.4725	4
MD	3446		Hincesti	H	Bratianovca				46.7406	28.4647	4
MD	3446		Hincesti	H	Sarata Galbena				46.7275	28.515	4
MD	3446		Hincesti	H	Coroliovca				46.7108	28.4725	4
MD	3446		Hincesti	H	Valea Florii				46.7128	28.4386	4
MD	3447		Hincesti	H	Sarata-Mereseni				46.8	28.5036	4
MD	3448		Hincesti	H	Secareni				47.0253	28.3325	4
MD	3448		Hincesti	H	Cornesti				46.9981	28.3294	4
MD	3448		Hincesti	H	Secarenii Noi				47.0117	28.331	3
MD	3449		Hincesti	H	Sofia				46.8411	28.3803	4
MD	3450		Hincesti	H	Stolniceni				46.9603	28.5	4
MD	3451		Hincesti	H	Sipoteni				46.9425	28.4564	4
MD	3452		Hincesti	H	Cococeni				46.6735	28.3031	3
MD	3452		Hincesti	H	Voinescu				46.6494	28.3017	4
MD	3452		Hincesti	H	Semionovca				46.6975	28.3044	4
MD	3502		Orhei	O	Orhei 2				47.3831	28.8231	
MD	3503		Orhei	O	Mitoc				47.3867	28.785	4
MD	3503		Orhei	O	Orhei 3				47.3867	28.785	3
MD	3504		Orhei	O	Orhei 4				47.3831	28.8231	
MD	3505		Orhei	O	Orhei 5				47.3831	28.8231	
MD	3511		Orhei	O	Berezlogi				47.4364	28.9339	4
MD	3512		Orhei	O	Biesti				47.5156	28.8614	4
MD	3512		Orhei	O	Slobozia-Hodorogea				47.5083	28.8886	4
MD	3512		Orhei	O	Cihoreni				47.5061	28.8622	4
MD	3513		Orhei	O	Bolohan				47.4319	28.8731	4
MD	3514		Orhei	O	Braviceni				47.4336	28.6578	4
MD	3515		Orhei	O	Branesti				47.3053	28.9267	4
MD	3516		Orhei	O	Breanova				47.4158	28.6497	4
MD	3517		Orhei	O	Bulaiesti				47.4769	28.9786	4
MD	3518		Orhei	O	Chiperceni				47.525	28.8386	4
MD	3519		Orhei	O	Ciocilteni				47.4939	28.6089	4
